name,description,address,phone,website,opening_hours,source_link
"A cosy, all-vegan Peckham café, with bonus late night fun.","A cosy, all-vegan Peckham café, with bonus late night fun.","135a Rye Lane, Peckham, SE15 4ST",,,"Mon-Thu 8am-4pm, Fri 8am-6pm, Sat 9am-6pm, Sun 9am-4pm (and later for events). Read review 2. Pavilion Café British Victoria Park 5 out of 5 stars Recommended © Alys Tomlinson",https://www.timeout.com/profile/leonie-cooper
A picturesque spot in Victoria Park with a Sri Lankan-influenced menu that punches high.,A picturesque spot in Victoria Park with a Sri Lankan-influenced menu that punches high.,"Victoria Park, E9 7DE",,,"Mon-Fri 7am-4pm, Sat-Sun 7am-6pm. Read review Advertising 3. St John at the London Review Bookshop Cafés Bloomsbury price 2 of 4 4 out of 5 stars Recommended Image: Matthew Hague What is it: A casual Bloomsbury bakehouse outpost of the acclaimed restaurant. Why we love it: Taking over the London Review Bookshop cafe in the shadow of the British Museum, this iteration of St John is by far its most lowkey, with just 10 tables and a menu primarily focussing on pastries and joyfully utilitarian doorstop sandwiches. Sweet-toothed punters will be pleased as the whole of the St John Bakery is on offer, with all manner of pastries, Eccles cakes, madeleines , and doughnuts, as well as warm savoury bakes (ham or courgette tart, pig cheek or potato and Wigmore cheese pie) and a short but salutary wine list. And of course there is coffee. Order this: St John’s bake-to-order madeleines are renowned; with a cup of something warming and a book from next door, we can’t think of a better way to spend an hour. Address: 16 Bury Place, Bloomsbury, WC1A 2JL. Opening hours: Mon-Sat 8am-6.30pm, Sun 12-6pm. Read review 4. Juliet's Quality Foods Cafés Tooting price 1 of 4 Recommended",https://www.timeout.com/profile/leonie-cooper
"Adventurous brunching in Tooting, for when avo and eggs just won’t cut it.","Adventurous brunching in Tooting, for when avo and eggs just won’t cut it.","10 Mitcham Road, Tooting, SW17 9NG.",,,"Mon-Fri 9am-3pm, Sat-Sun 9am-4pm. Read more Advertising 5. Bolland & Crust 5 out of 5 stars Recommended Andre Ainsworth What is it: Spit-roast and meat-heavy delights at a hidden Wood Green gem. Why we love it: Bolland & Crust, located in an industrial park, might not look like much but its food means business. Having operated since 2009 as caterers, this north London outpost is their first sit-down eatery, but with an MO centred around bbq and spit-roast treats (overseen by the friendly hog painted on its wall). They know exactly what they’re good at: namely, no nonsense breakfast baps and fry ups, and an exciting lunch menu that’s already luring in locals and those from far beyond. Expect big flavours, like pigs head croquettes and chimichurri-laden bavette steak; on Sundays they roast, with belly pork, lamb shoulder and bbq cauliflower all on offer. Order this: The croquettes with tangy sauce gribiche are a menu staple, as are their super crispy, layered confit potato cakes. Address: Crawley Road Studios, 38 Crawley Road, Wood Green, N22 6AG Opening hours: Wed-Thu 10am-3pm, Fri 9am-3pm and 5-9pm, Sat 9am-4pm, Sun 10am-4pm. 6. Brunswick East Coffeeshops Dalston 4 out of 5 stars Recommended",https://www.timeout.com/profile/leonie-cooper
"An Aussie-owned gem, with a menu informed by the produce of its own rooftop Sky Farm.","An Aussie-owned gem, with a menu informed by the produce of its own rooftop Sky Farm.","Unit 3D Stamford Works, Gillett Street, Dalston, N16 8JH",,,"Mon-Fri 8.30am-4pm, Sat-Sun 9am-5pm. Read review Advertising 7. Baudry Greene 4 out of 5 stars Recommended Baudry Greene",https://www.timeout.com/profile/leonie-cooper
"An all-day café and bar, with top tier figures behind both sides.","An all-day café and bar, with top tier figures behind both sides.","20 Endell Street, Covent Garden, WC2H 9BD.",,,"Mon-Thu 8am-11pm, Fri 8am-11.30pm, Sat 9am-11.30pm. 8. Milk Cafés Balham 4 out of 5 stars Recommended Mariell Lind Hansen",https://www.timeout.com/profile/leonie-cooper
Balham’s most achingly fashionable breakfast and brunch spot.,Balham’s most achingly fashionable breakfast and brunch spot.,"18-20 Bedford Hill, Balham, SW12 9RG.",,,"Mon-Thu 8am-3pm, Fri 8am-3.30pm, Sat 8am-4pm, Sun 9am-4pm. Read review Advertising 9. Gecko Coffeehouse Cafés Bethnal Green Recommended Photograph: Holly Munks",https://www.timeout.com/profile/leonie-cooper
An unpretentious Bethnal Green café with,"An unpretentious Bethnal Green café with
a rare balance between quality and heart.","49 Bethnal Green Road, Bethnal Green, E1 6LA.",,,"Mon-Fri 9am-5pm, Sat-Sun 9am-6pm. Holly Munks Contributing writer Read more 10. Fair Shot Cafés Covent Garden 4 out of 5 stars Recommended Fair Shot",https://www.timeout.com/profile/leonie-cooper
"A social enterprise café, bringing good coffee and good vibes to Covent Garden.","A social enterprise café, bringing good coffee and good vibes to Covent Garden.","3 Slingsby Place, Covent Garden, WC2E 9AB.",,,"Mon-Fri 8am-6pm, Sat 9am-6.30pm, Sun 12pm-6pm. Read review Advertising 11. The Fields Beneath Cafés Kentish Town price 1 of 4 4 out of 5 stars Recommended",https://www.timeout.com/profile/leonie-cooper
"A tiny neighbourhood hangout in Kentish Town, with a fully plant-based menu.","A tiny neighbourhood hangout in Kentish Town, with a fully plant-based menu.","52a Prince of Wales Road, Kentish Town, NW5 3LN.",,,"Mon-Fri 7.30pm-4pm, Sat 8am-5pm, Sun 8.30am-4pm. Read review 12. The Copper Tea Tea rooms New Cross 4 out of 5 stars Recommended Kyoko Sato",https://www.timeout.com/profile/leonie-cooper
Nan’s living room vibes in a quirky Lewisham tearoom.,"Nan’s living room vibes in a quirky Lewisham tearoom.
Why we love it
: The Copper Tea’s exterior
may say ‘New Cross Appliance Centre’, but rest assured there’s a tiny little café serving banging breakfasts and a
strong cuppa in quirky china
behind those quaint floral curtains. Head in and find an oh-so-cute space with mismatched picture frames, plenty of lace and the general vibe of days gone by. The menu, meanwhile, brings The Copper Tea up to date, combining British and Japanese dishes from eggs and soldiers to bento boxes.","Ground Floor, 137 Lewisham Way, Lewisham, SE14 6QF.",,,"Mon, Wed-Thu 10.30am-4pm, Tues, Fri 11am-4pm, Sat-Sun 10.30am-3.30pm. Read review Advertising 13. Ace Café Things to do Event spaces Wembley 4 out of 5 stars Recommended",https://www.timeout.com/profile/leonie-cooper
